,ensembl_gene_id
0,ENSG00000210049
1,ENSG00000211459
2,ENSG00000210077
3,ENSG00000210082
4,ENSG00000209082
5,ENSG00000198888
6,ENSG00000210100
7,ENSG00000210107
8,ENSG00000210112
9,ENSG00000198763
10,ENSG00000210117
11,ENSG00000210127
12,ENSG00000210135
13,ENSG00000210140
14,ENSG00000210144
15,ENSG00000198804
16,ENSG00000210151
17,ENSG00000210154
18,ENSG00000198712
19,ENSG00000210156
20,ENSG00000228253
21,ENSG00000198899
22,ENSG00000198938
23,ENSG00000210164
24,ENSG00000198840
25,ENSG00000210174
26,ENSG00000212907
27,ENSG00000198886
28,ENSG00000210176
29,ENSG00000210184
30,ENSG00000210191
31,ENSG00000198786
32,ENSG00000198695
33,ENSG00000210194
34,ENSG00000198727
35,ENSG00000210195
36,ENSG00000210196
